freelancer_id,preference
freelancer_1,RPG
freelancer_2,"Strategi, Aksi/Petualangan"
freelancer_3,"Strategi, FPS, Aksi/Petualangan"
freelancer_4,"MOBA, Aksi/Petualangan"
freelancer_5,Strategi
freelancer_6,Strategi
freelancer_7,MOBA
freelancer_8,RPG
freelancer_9,"Strategi, FPS"
freelancer_10,RPG
freelancer_11,"Aksi/Petualangan, Battle Royal, MOBA"
freelancer_12,"Aksi/Petualangan, MOBA"
freelancer_13,"Strategi, RPG"
freelancer_14,RPG
freelancer_15,RPG
freelancer_16,"Strategi, FPS"
freelancer_17,"Aksi/Petualangan, MOBA"
freelancer_18,"Strategi, RPG"
freelancer_19,"MOBA, Aksi/Petualangan"
freelancer_20,"FPS, MOBA"
freelancer_21,"Aksi/Petualangan, MOBA, RPG"
freelancer_22,"RPG, FPS"
freelancer_23,"MOBA, Battle Royal, FPS"
freelancer_24,"Battle Royal, MOBA"
freelancer_25,Strategi
freelancer_26,Strategi
freelancer_27,"FPS, RPG, Battle Royal"
freelancer_28,"RPG, Aksi/Petualangan, Strategi"
freelancer_29,"RPG, Battle Royal"
freelancer_30,"Aksi/Petualangan, FPS, Battle Royal"
freelancer_31,Aksi/Petualangan
freelancer_32,FPS
freelancer_33,"MOBA, Strategi"
freelancer_34,"Battle Royal, RPG, FPS"
freelancer_35,"MOBA, Battle Royal, Aksi/Petualangan"
freelancer_36,"RPG, Battle Royal, FPS"
freelancer_37,Battle Royal
freelancer_38,Strategi
freelancer_39,Battle Royal
freelancer_40,"FPS, RPG, Strategi"
freelancer_41,"Aksi/Petualangan, MOBA, FPS"
freelancer_42,Battle Royal
freelancer_43,"RPG, FPS, Battle Royal"
freelancer_44,RPG
freelancer_45,Battle Royal
freelancer_46,"RPG, Battle Royal, FPS"
freelancer_47,"Strategi, FPS"
freelancer_48,"Aksi/Petualangan, Strategi, MOBA"
freelancer_49,RPG
freelancer_50,RPG
freelancer_51,Strategi
freelancer_52,FPS
freelancer_53,"FPS, RPG, MOBA"
freelancer_54,"RPG, MOBA"
freelancer_55,"MOBA, Strategi, FPS"
freelancer_56,"Battle Royal, RPG"
freelancer_57,"FPS, Strategi, MOBA"
freelancer_58,Battle Royal
freelancer_59,"Strategi, FPS"
freelancer_60,FPS
freelancer_61,"FPS, Aksi/Petualangan, Battle Royal"
freelancer_62,"Battle Royal, MOBA"
freelancer_63,RPG
freelancer_64,MOBA
freelancer_65,"Aksi/Petualangan, Strategi, FPS"
freelancer_66,RPG
freelancer_67,"FPS, RPG"
freelancer_68,"Battle Royal, FPS"
freelancer_69,"MOBA, RPG, FPS"
freelancer_70,MOBA
freelancer_71,"RPG, FPS, Aksi/Petualangan"
freelancer_72,"FPS, RPG, MOBA"
freelancer_73,Aksi/Petualangan
freelancer_74,"Strategi, Aksi/Petualangan, RPG"
freelancer_75,"MOBA, FPS, RPG"
freelancer_76,"RPG, Battle Royal, Strategi"
freelancer_77,"Aksi/Petualangan, MOBA"
freelancer_78,FPS
freelancer_79,"Aksi/Petualangan, FPS"
freelancer_80,Aksi/Petualangan
freelancer_81,"Strategi, MOBA"
freelancer_82,Aksi/Petualangan
freelancer_83,"Battle Royal, RPG"
freelancer_84,MOBA
freelancer_85,RPG
freelancer_86,"Strategi, Aksi/Petualangan, FPS"
freelancer_87,"FPS, Aksi/Petualangan, RPG"
freelancer_88,"RPG, Battle Royal, Strategi"
