name_project,project_desc,category_project
joki Destiny,Recommended for all gamers.Fun and addictive best to play with friends. Pros Customizable cars. Unlockable customizables. Variety of maps. Variety of settings you don't have to just play a regular game you can change gravity ball weight ball shape etc. Good soundtrack could use more but not complaining. Keeps you busy for hours. Awesome DLCs.Cons I believe they made it so you can only get some drops if you play online matches rough for those who dislike playing online. Playing online tends to force you to turn your graphics quality basically all the way down depending where you connect. The AI sucks when starting out on Rookie. They tend to score on their own goal. Extremely funny nonetheless.,suhu
joki Resident Evil,Great game.........very addictive and its only in pregame state!! I am looking forward to what they will offer...........to keep us?,wibu
joki VALORANT,IF MY GAME CRASHES ONE MORE TIME I WILL LOSE MY GODDAMN MIND!!!,"cecan, pro player, cewek"
cari Roblox,will die alot,waifu
tutor VALORANT,got addicted during the free weekend now i cant stop playing REALLY FUN!,"cecan, valorant"
joki Cyberpunk,so nc,cogan
joki Minecraft,I LOVE THIS IN GAME!!!!!,"gg, wibu"
tutor Minecraft,Amazing so far. Great sequel to the series and finally on PC. Running on a GTX 760 at 1440p. 4k looks nice but FPS drops to below 30. Buttery smooth 1440p.Radio is very entertaining. The map has definitely changed alot since San Andreas but there are still some areas that are very close and reminicent of the older game. Cars handle alot better than GTA IV. Switching between characters isn't as bad as I thought it would be. I'm also a big fan of how the map is not locked down from the beginning such as all the other GTA games. First thing I did after the prologue was boost a car drive to the airport and grabbed the first plane I found and cruised around the map (dat turbulence). Love this game so far. Only played online for a few minutes and hit rank 3. Lots of potential and really looking forward to continuing this game. 10/10.,"cecan, cogan"
tutor Clash Royale,A Very fun game,"cewek, suhu"
joki DOTA,best game for players who love football and cars,"valorant, wibu, suhu"
cari Bang Bang,The Single Player has loads of potential to get a good experience out of it. The best way to unlock is too use mods to make it a) better looking b) better to play and c) more enteraining. I have played loads of single player as I don't bother with online (450 hours) and I still love the game to this day it's truly astonishing!,"mobile legend, cewek, pro player"
cari NINTENDO,PlayerUnknown's Battlegrounds. More like PlayerUnknown's Chinagrounds,"mobile legend, suhu, cogan"
cari Destiny,I bought this for the mods and now I can't even get mods on it anymore?? Erm?,"waifu, free fire"
joki Genshin Impact,Do you think mods should be outlawed take two does.,pro player
tutor ML,I bought the game about a month ago and I am really enjoying it It is definetly worth picking up some time and playing with friends or just playing online with people you never met and you can make friends. good game._.,"cecan, valorant"
