ID,Skill,Genre,Experience,Difficulty Rating
1,Beginner,RPG,2.5 years,Challenging
2,Beginner,Adventure,3 years,Easy
3,Intermediate,Simulation,1 year,Easy
4,Advanced,RPG,4 years,Difficult
5,Beginner,Strategy,6 months,Difficult
6,Beginner,Puzzle,1.5 years,Moderate
7,Intermediate,Simulation,1.5 years,Easy
8,Advanced,Strategy,3 years,Challenging
9,Beginner,Puzzle,4 years,Easy
10,Intermediate,Sports,5 years,Difficult
11,Intermediate,Simulation,4 years,Challenging
12,Beginner,FPS,2.5 years,Easy
13,Intermediate,Sports,1 year,Difficult
14,Intermediate,Adventure,2 years,Challenging
15,Advanced,Simulation,2.5 years,Easy
16,Beginner,Puzzle,5 years,Moderate
17,Intermediate,Platformer,2 years,Difficult
18,Beginner,FPS,3 years,Difficult
19,Beginner,Adventure,3 years,Difficult
20,Advanced,Simulation,5 years,Easy
21,Advanced,Sports,1 year,Challenging
22,Advanced,Racing,3 years,Moderate
23,Beginner,Adventure,6 months,Easy
24,Advanced,Strategy,2.5 years,Difficult
25,Intermediate,Simulation,2 years,Challenging
26,Advanced,Simulation,3 years,Challenging
27,Advanced,Platformer,1.5 years,Challenging
28,Advanced,Simulation,1.5 years,Moderate
29,Advanced,Platformer,4 years,Easy
30,Advanced,Strategy,1.5 years,Difficult
31,Beginner,Adventure,6 months,Difficult
32,Beginner,Strategy,1.5 years,Challenging
33,Advanced,Sports,6 months,Easy
34,Beginner,Simulation,5 years,Easy
35,Intermediate,Platformer,4 years,Challenging
36,Intermediate,Platformer,1.5 years,Easy
37,Beginner,Sports,5 years,Moderate
38,Intermediate,RPG,5 years,Easy
39,Beginner,Platformer,5 years,Moderate
40,Advanced,Strategy,3 years,Moderate
41,Intermediate,Strategy,5 years,Difficult
42,Beginner,RPG,4 years,Difficult
43,Advanced,Platformer,2 years,Easy
44,Advanced,Racing,3 years,Challenging
45,Advanced,Sports,1 year,Easy
46,Intermediate,RPG,2.5 years,Difficult
47,Advanced,Racing,2 years,Difficult
48,Advanced,Strategy,3 years,Difficult
49,Advanced,FPS,4 years,Difficult
50,Intermediate,Strategy,5 years,Moderate
51,Intermediate,RPG,2.5 years,Easy
52,Beginner,FPS,2.5 years,Moderate
53,Intermediate,Puzzle,5 years,Difficult
